top1,wom,sm,walk,billboard,patronage,importantconvenience,importantvariety,importantprice,importanthealthy,importanttaste,importantambience,chipotleconvenient,chipotlevariety,chipotleprice,chipotlehealthy,chipotletaste,chipotleambience,female,age,income,plan,spending,buylocal,healthyimportanttome,
Subway,0,0,1,0,0,5,5,5,5,5,4,3,3,2,5,3,4,0,52,56406,2,1,2,1,
KFC,0,0,1,0,0,5,4,5,4,5,4,3,3,2,4,5,4,0,50,32828,1,4,2,2,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,3,4,4,5,4,3,0,45,45038,3,2,1,2,
Subway,0,0,0,0,0,1,1,4,4,5,4,2,3,3,3,4,3,0,41,53955,3,4,3,3,
Panera,0,0,1,0,0,5,4,5,5,5,5,5,4,4,5,5,5,0,30,28178,1,2,2,2,
In-n-out,1,0,0,0,4,4,4,5,4,5,4,5,5,5,5,5,5,0,31,39398,3,2,1,2,
Panera,0,0,1,0,0,5,4,4,5,5,3,5,3,3,4,4,4,1,38,18186,1,3,2,2,
Subway,0,0,1,0,0,5,4,4,5,5,4,3,3,3,4,3,4,0,35,11046,1,2,1,1,
Subway,1,0,0,0,0,5,5,5,5,5,5,4,4,2,3,3,3,0,34,44454,1,4,2,1,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,3,3,3,4,3,4,0,37,41052,2,2,2,2,
Subway,0,0,1,0,0,5,4,5,5,5,4,4,4,4,5,5,5,0,33,86277,2,3,2,2,
panera bread,0,0,0,0,2,4,4,5,5,5,4,3,4,3,4,4,3,0,49,54651,1,4,2,2,
KFC,1,0,0,0,0,5,4,4,4,5,4,5,5,4,4,4,4,0,21,58742,2,4,2,2,
Subway,0,0,0,0,1,5,4,5,5,5,4,3,3,4,5,5,4,0,24,58416,1,4,2,1,
Panera,1,0,0,0,0,4,5,5,5,5,5,5,5,5,5,5,5,0,25,29001,1,2,1,1,
KFC,1,0,0,0,0,5,5,5,5,5,3,3,5,5,5,5,4,0,31,40076,2,2,2,2,
El Pollo Loco,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
El Pollo Loco,1,0,0,0,3,5,5,5,4,5,4,3,3,4,5,3,3,0,38,39680,1,2,2,2,
Chipotle,0,0,1,0,0,5,3,5,5,5,5,5,5,5,5,5,5,0,45,36810,3,2,2,1,
El Pollo Loco,1,0,0,0,0,4,4,4,3,5,4,3,3,3,5,5,4,1,40,81393,2,4,2,1,
Subway,1,0,0,0,1,4,4,5,5,5,4,3,3,1,3,3,3,0,39,15629,2,2,1,1,
El Pollo Loco,1,0,0,0,0,4,4,5,5,5,4,4,5,5,5,5,4,1,33,72657,1,2,1,1,
El Pollo Loco,0,0,0,0,2,,,,,,,,,,,,,0,56,27994,2,2,2,2,
Chipotle,1,0,0,0,1,5,4,5,4,5,4,3,3,2,5,5,3,1,32,24334,2,3,5,3,
In-n-out,0,0,1,0,0,5,5,5,4,4,3,3,3,2,,4,3,0,64,59518,2,2,2,3,
In-n-out,1,0,0,0,0,4,4,4,4,4,3,4,4,4,5,5,5,0,51,14502,2,2,2,2,
Chipole,1,0,0,0,0,4,4,4,5,5,5,3,3,3,3,3,3,1,34,17145,2,3,1,1,
In-n-out,1,0,0,0,2,4,4,5,4,5,4,5,3,4,4,4,4,1,69,34164,3,3,2,3,
mcdonalds,0,0,1,0,0,4,5,5,5,5,4,4,5,5,5,5,3,0,54,44372,1,4,1,1,
In-n-out,1,0,0,0,0,4,4,5,4,5,5,5,5,4,5,5,5,0,51,23649,2,2,5,2,
panera bread,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
KFC,0,0,0,0,5,2,,,,,,,,,,,,,,,,,,,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,5,5,2,5,5,5,0,35,53772,3,2,2,2,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,3,3,3,4,4,3,0,45,16333,2,2,2,2,
Mcdonalds,1,0,0,0,0,5,5,5,5,5,4,5,5,2,5,5,5,1,45,42612,3,3,1,1,
Chipotle,1,0,0,0,0,5,4,4,5,5,4,5,5,4,5,5,3,0,48,23232,2,3,2,1,
Panera,0,0,0,0,2,,,,,,,,,,,,,0,32,14108,2,1,1,1,
Panera,1,0,0,0,1,4,4,5,5,5,4,5,5,5,5,5,5,0,36,38296,1,3,2,1,
Panera,0,0,1,0,0,5,4,5,5,5,5,4,3,4,4,4,3,1,33,13572,1,1,2,2,
Chipotle,1,0,0,0,0,5,5,5,5,5,4,4,3,3,4,4,4,1,32,47226,2,4,2,2,
Chipotle,1,0,0,0,0,5,4,5,4,5,4,5,3,2,4,3,3,0,38,50294,1,4,2,1,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,2,3,3,4,4,3,0,35,69465,1,2,2,2,
In-n-out,1,0,0,0,3,5,5,5,5,5,5,4,4,4,4,4,4,0,46,36060,1,4,2,2,
Subway,0,0,1,0,0,5,4,5,4,,4,4,3,4,4,5,4,0,52,85353,1,3,2,2,
KFC,0,0,1,0,0,4,4,5,5,5,4,4,4,2,4,4,3,0,54,19970,2,3,2,1,
In-n-out,1,0,0,0,3,5,3,4,5,5,4,3,3,4,5,5,3,0,58,51927,2,4,1,1,
